sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file,company,publish_year,n_words,vague_ratio,hedging_ratio,future_ratio,quantification_present,baseline_present,date_present,scope_present,verification_present,specificity_score,readability,passive_voice,modal_firm,modal_soft,positive_tone_words
"In 2023, the group reached a score of 58/100, with highest possible or best-in-class scores in climate-related management strategies and human rights assessment.",8,Key figures > Dow Jones Sustainability Indices,achievement,achievement,"2023,",,,,0.33,data/raw/hm/2023_sustainability_report.pdf,hm,2023,21,0.0476,0.0,0.0,True,False,False,False,False,0.01,24.4,False,False,False,1
"1) The baseline for the sales goal is 2021, while the baseline for reducing greenhouse gas emissions is 2019.",9,Our business idea,other,,"2021,",,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,16,0.0,0.0,0.0625,True,False,False,False,False,0.2,53.1,False,False,False,0
H&M Group’s goal is to reduce its greenhouse gas (GHG) emissions in absolute figures by 56 percent by 2030 (baseline 2019) in accordance with the Science Based Targets initiative (SBTi).,9,Our business idea,target,,56 percent,,2030,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,29,0.0,0.0,0.1234,True,False,True,False,True,0.6,40.3,False,False,False,0
"This includes scope 1, 2 and 3 GHG emissions, and is excluding indirect emissions from use of sold products.",9,Our business idea,other,,"1,",,,Scope 1,1.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,16,0.0,0.0,0.0,True,False,False,True,False,0.4,47.8,False,False,False,0
"The store design focuses on circularity in both materials and design and encompasses materials such as bamboo wardrobes, recycled plastic display cases and a rail system made with recycled aluminium.",10,Our culture and values,attribute,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,30,0.0,0.0,0.0,False,False,False,False,False,0.0,10.0,False,False,False,0
"The majority of our stores (91 percent) are equipped with LED lighting, which contributes to the reduction of electricity use per square meter with 29 percent compared to the base year 2016, surpassing our target of a 25 percent reduction seven years early.",10,Our culture and values,other,,91 percent,2016,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,39,0.0,0.0,0.0256,True,True,False,False,False,0.4,19.7,True,False,False,0
"The decisions we make at this stage determine the materials and processes we use, the expected lifetime of products we create for each assortment, and the potential for those products to be repaired, reused or recycled.",12,Circular customer journeys,attribute,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,36,0.0,0.0556,0.0,False,False,False,False,False,0.0,31.6,True,False,False,0
"These include garment rental, second-hand, remake, repairs, alterations, garment collecting for textile reuse and recycling, and preferred delivery options1 — all to help customers make well-informed choices, while creating new revenue streams and supporting our sustainability goals.",12,Circular customer journeys,other,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,36,0.0,0.0,0.0278,False,False,False,False,False,0.0,-3.6,False,False,False,0
A zero-emissions vehicle is one that does not emit exhaust gas or other pollutants when operational.,12,Circular customer journeys,attribute,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,16,0.0,0.0,0.0,False,False,False,False,False,0.0,32.0,False,False,False,0
Systemic change is essential to achieve the transformation required for a more sustainable fashion industry.,16,Our brands,attribute,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,15,0.0,0.0,0.0,False,False,False,False,False,0.0,22.4,False,False,False,0
"We invested in Rubi, a former H&M Foundation Global Change Award winner that creates man-made cellulosic fibres from industrial CO2 emissions.",16,Our brands,other,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,22,0.0,0.0,0.0,False,False,False,False,False,0.0,26.8,False,False,False,0
Recycled leather from leather scraps.,16,Our brands,attribute,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,5,0.0,0.0,0.0,False,False,False,False,False,0.0,49.5,False,False,False,0
"In 2023, we launched Looper Textile Co. , an independent joint venture with Remondis that provides local municipalities and retailers with solutions to extend the useful life of unwanted garments via reuse and recycling.",16,Looper Textile,achievement,achievement,"2023,",,,,0.33,data/raw/hm/2023_sustainability_report.pdf,hm,2023,32,0.0,0.0,0.0,True,False,False,False,True,0.4,29.3,False,False,False,0
"We joined Frontier, an advanced market commitment for permanent carbon removal, to support the scaling of this emerging sector — which we need to balance out the maximum residual 10 percent of our emissions after we have achieved our 2040 emission reduction target.",19,Reducing greenhouse gas emissions,target,firm,10 percent,,,,0.25,data/raw/hm/2023_sustainability_report.pdf,hm,2023,40,0.0,0.0,0.05,True,False,False,False,False,0.2,11.8,False,False,False,1
"To catalyse wider change, we advocate for policy that aims to limit global temperature rise to 1. 5°C and support legislation that accelerates the decarbonisation of our value chain.",19,Renewable electricity in Bangladesh,other,hedged,5,,,value chain,1.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,28,0.0,0.0,0.0357,True,False,False,True,False,0.4,29.5,False,False,False,1
1) Excluding indirect GHG emissions from use of sold products.,19,Renewable electricity in Bangladesh,other,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,9,0.0,0.0,0.0,False,False,False,False,False,0.0,47.3,False,False,False,0
"The engagement has not yet resulted in a way forward, but will be renewed once the current revision of the GHG Protocol is finalised (likely in 2025).",19,Renewable electricity in Bangladesh,other,firm,2025,,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,26,0.0,0.0385,0.0385,True,False,False,False,True,0.246,37.3,True,True,False,0
"2) Target boundary includes 100% of scope 1 and 2 emissions, and 100% of minimum boundary scope 3 emissions (which excludes indirect emissions from use of sold products).",19,Renewable electricity in Bangladesh,other,,100%,,,Scope 1; Scope 3,1.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,22,0.0,0.0,0.0455,True,False,False,True,False,0.4,23.0,False,False,False,0
"Our goal is for 100 percent of our materials to be either recycled or sustainably sourced by 2030 (in 2023 we achieved 85 percent), including 30 percent recycled materials by 2025 and a new ambition for 50 percent recycled materials by 2030.",19,"Towards recycled, regenerative and responsibly sourced materials",target,hedged,100 percent,,2030,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,34,0.0,0.0,0.1376,True,False,True,False,False,0.4,20.5,False,False,False,0
Its Infinna™ solution — man-made cellulosic fibres (MMCF) produced from recycled cotton waste — will help reduce our dependence on virgin cotton.,19,"Towards recycled, regenerative and responsibly sourced materials",attribute,firm,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,20,0.0,0.0,0.05,False,False,False,False,False,0.0,21.6,False,True,False,0
"Currently, our packaging is made from 79 percent recycled or sustainably sourced materials and we have reduced plastic packaging volume by 55 percent from our 2018 baseline.",21,Social impact across our value chain,achievement,achievement,79 percent,2018,,,0.67,data/raw/hm/2023_sustainability_report.pdf,hm,2023,24,0.0,0.0,0.0,True,True,False,False,False,0.4,20.3,False,False,False,0
"We focus on reducing our environmental footprint caused by packaging by optimising the overall packaging used, tackling plastic pollution, and increasing the share of recycled and sustainably sourced materials.",21,Social impact across our value chain,attribute,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,29,0.0,0.0,0.0,False,False,False,False,False,0.0,-3.5,False,False,False,0
1) Includes all shell materials of commercial goods.,21,Key sustainability goals > Social impact,other,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,7,0.0,0.0,0.0,False,False,False,False,False,0.0,42.6,False,False,False,0
We also engage with policymakers to help shape a legislative environment that will support a more sustainable fashion sector.,22,Collaboration and partnership,attribute,firm,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,19,0.0,0.0,0.0526,False,False,False,False,False,0.0,27.3,False,True,False,0
"This is creating opportunities to test new business models and new solutions faster, as well as enabling the scale-up and commercialisation of recycled and sustainably sourced materials.",23,Administration report including Corporate Governance report and sustainability,attribute,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,27,0.0,0.0,0.0,False,False,False,False,False,0.0,7.1,False,False,False,0
The brands are working to shift to more circular business models for their products and services and are increasing the percentage of recycled and sustainably sourced materials in their collections.,23,Administration report including Corporate Governance report and sustainability,attribute,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,30,0.0,0.0,0.0,False,False,False,False,False,0.0,26.9,False,False,False,0
"Creator Studio is a B2B service offering on-demand print services, enabling external brands and content creators to use H&M Group’s supply chain to produce their own merchandise for sale.",23,Administration report,other,,,,,supply chain,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,32,0.0,0.0,0.0,False,False,False,True,False,0.2,39.5,False,False,False,0
"On 18 July 2022, H&M Group announced that it had decided to begin winding down the business in Russia in a responsible manner.",23,Administration report,other,,18,2022,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,22,0.0455,0.0,0.0,True,True,False,False,False,0.218,49.9,False,False,False,1
"In the fourth quarter 2023, cash flow was not impacted by the winding down of the business and cumulative payments in 2023 amounted to around SEK 1.0 billion.",23,Administration report,achievement,achievement,1.0 billion,,,,0.33,data/raw/hm/2023_sustainability_report.pdf,hm,2023,25,0.0,0.04,0.0,True,False,False,False,False,0.04,62.2,False,False,False,0
"Direction and targets In 2023, H&M Group continued to implement its business plan, which aims to deliver long-term profitable growth in a more sustainable way.",24,Administration report,other,hedged,"2023,",,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,25,0.04,0.0,0.12,True,False,False,False,False,0.04,42.7,False,False,False,0
H&M Group’s goal is that by 2030 at the latest it will double sales while at the same time halving its greenhouse gas emissions.,24,Administration report,target,firm,2030,,2030,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,25,0.0,0.0,0.14,True,False,True,False,False,0.4,76.6,False,True,False,0
"The baseline for the sales goal is 2021, while the baseline for reducing greenhouse gas emissions is 2019.",24,Administration report,other,,"2021,",,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,16,0.0,0.0,0.0625,True,False,False,False,False,0.2,53.1,False,False,False,0
"On 6 March 2024 it was announced that the H&M group and Vargas Holding launch Syre, a new venture to scale textile-totextile recycled polyester.",24,Administration report,achievement,achievement,6,2024,,,0.67,data/raw/hm/2023_sustainability_report.pdf,hm,2023,23,0.0,0.0,0.0,True,True,False,False,False,0.4,47.4,True,False,False,0
"The H&M group has secured an offtake agreement with Syre worth a total of USD 600 million over seven years, covering a significant share of the H&M group’s long-term need for recycled polyester, which is currently primarily sourced from rPET bottle-to-textile.",24,Administration report,attribute,,600 million,,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,43,0.0233,0.0,0.0,True,False,False,False,False,0.107,21.5,False,False,False,0
H&M Group’s goal is to reduce its greenhouse gas emissions in absolute figures by 56 percent by 2030 (baseline 2019) in accordance with the Science Base Targets initiative (SBTi).,24,Administration report > Five year summary,target,,56 percent,,2030,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,28,0.0,0.0,0.1271,True,False,True,False,True,0.6,42.5,False,False,False,0
The fees invoiced by the auditors over the past two financial years are reported in note 11 of the Annual and Sustainability Report for 2023.,29,Corporate governance report,other,,11,,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,23,0.0,0.0,0.0,True,False,False,False,False,0.2,40.0,True,False,False,0
"In 2024, as part of the ongoing development of the company’s process to prepare for CSRD, the company will further refine the process in order to work towards including a financial materiality assessment based on input from internal experts and other external stakeholders.",36,Employee representative profiles > Material topics,other,firm,"2024,",,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,43,0.0233,0.0,0.0233,True,False,False,False,False,0.107,7.8,False,True,False,0
The findings from the 2023 materiality assessment informed the company’s update to its 2022 GRI-based materiality matrix.,36,Employee representative profiles > Material topics,other,,2023,2023,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,16,0.0,0.0,0.0,True,True,False,False,True,0.6,5.5,False,False,False,0
"Operational risks During 2023, the majority of risks related to external events, such as geopolitical uncertainty, increased regulatory demands, inflation, and high energy costs in Europe, rather than to internal business risks.",37,Employee representative profiles > Material topics,achievement,achievement,"2023,",,,,0.33,data/raw/hm/2023_sustainability_report.pdf,hm,2023,31,0.0,0.0,0.0,True,False,False,False,False,0.2,-10.2,False,False,False,0
Sustainability risks For many years H&M Group has been taking a leading role in driving change towards a more sustainable fashion future and in setting ambitious sustainability targets and strategies.,37,Employee representative profiles > Material topics,attribute,achievement,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,31,0.0968,0.0,0.0645,False,False,False,False,False,0.0,22.5,False,False,False,2
"Strategy In 2019, H&M Group performed its first risk analysis following the Task Force on Climate-related Financial Disclosures (TCFD) recommendations.",38,Employee representative profiles > Material topics,other,,"2019,",,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,20,0.0,0.0,0.0,True,False,False,False,False,0.2,4.6,False,False,False,0
1) RCP or Representative Concentration Pathway is an indication of the future concentration of greenhouse gases in the atmosphere as a result of human activity.,38,Employee representative profiles > Material topics,other,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,24,0.0,0.0,0.0417,False,False,False,False,False,0.0,13.3,False,False,False,0
"H&M Group also aims to become a more circular business which, for example, means sourcing raw materials that are recycled or sustainably sourced and scaling up customer-facing circular business models.",38,TCFD climate risk analysis > Changes in customer attitudes and purchasing patterns,attribute,hedged,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,31,0.0,0.0,0.0323,False,False,False,False,False,0.0,19.8,True,False,False,0
Investments would also be needed to develop sustainably sourced materials for use in our garments.,39,TCFD climate risk analysis > Transition to lower-carbon footprint production and/ or lowemission technologies,attribute,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,15,0.0,0.0667,0.0,False,False,False,False,False,0.0,33.7,True,False,True,0
"In 2023, the total spend on recycled and sustainably sourced materials and decarbonisation (e.g. energy efficiency investments in our stores and supporting its suppliers to phase out coal) was approximately SEK 2.1 billion.",39,TCFD climate risk analysis > Transition to lower-carbon footprint production and/ or lowemission technologies,achievement,achievement,2.1 billion,,,,0.33,data/raw/hm/2023_sustainability_report.pdf,hm,2023,32,0.0,0.0312,0.0,True,False,False,False,False,0.075,32.2,False,False,False,0
An innovative solution that is now under pilot is a supercritical CO2 dyeing process that will remove water entirely.,39,TCFD climate risk analysis > Increased energy and water cost,other,firm,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,19,0.0,0.0,0.0526,False,False,False,False,False,0.0,27.3,False,True,False,1
"By increasing the share of recycled materials, the company’s dependence on virgin raw materials is reduced.",39,TCFD climate risk analysis > Raw material availability and price,attribute,achievement,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,17,0.0,0.0,0.0,False,False,False,False,False,0.0,30.3,True,False,False,0
An innovative solution that is now under pilot is a supercritical CO2 dyeing process that will remove water entirely.,39,TCFD climate risk analysis > Water scarcity or extreme weather events that influence production and logistics,other,firm,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,19,0.0,0.0,0.0526,False,False,False,False,False,0.0,27.3,False,True,False,1
"Furthermore, the company focuses on innovative solutions aimed at increasing use of recycled materials.",40,TCFD climate risk analysis > Creation of new business-tobusiness revenue streams,attribute,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,14,0.0,0.0,0.0714,False,False,False,False,False,0.0,-0.7,False,False,False,1
H&M Group also has a EUR 500 million sustainability-linked bond outstanding since 2021 focused on increasing recycled material in commercial goods and GHG emission reduction.,40,TCFD climate risk analysis > Creation of new business-tobusiness revenue streams,attribute,,500 million,,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,24,0.0,0.0,0.0,True,False,False,False,False,0.2,9.8,False,False,False,1
Scaling recycled materials and transitioning to regenerative agriculture for key virgin materials like cotton and wool can reduce the company’s material vulnerability and improve the climate resilience of both farmers and its business.,40,TCFD climate risk analysis > Creation of new business-tobusiness revenue streams,attribute,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,34,0.0,0.0,0.0,False,False,False,False,False,0.0,-1.9,False,False,False,0
Our ambition is to double our revenue (from a 2021 baseline) while halving our greenhouse gas emissions1 (from a 2019 baseline) by 2030.,41,Internal audit,target,hedged,2021,2021,2030,,0.75,data/raw/hm/2023_sustainability_report.pdf,hm,2023,20,0.0,0.0,0.12,True,True,True,False,False,0.6,51.2,False,False,False,0
"Through our strategy, we support progress towards the UN Sustainable Development Goals and Agenda 2030, alongside other global commitments such as the Paris Agreement on Climate Change and the UN Declaration of Human Rights.",41,Internal audit,other,hedged,"2030,",,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,33,0.0,0.0,0.0606,True,False,False,False,False,0.2,22.1,False,False,False,1
"1) Includes scope 1, 2 and 3 GHG emissions, excluding indirect emissions from use of sold products.",41,Internal audit,other,,"1,",,,Scope 1,1.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,13,0.0,0.0,0.0,True,False,False,True,False,0.4,37.5,False,False,False,0
1) Higg Facility Environmental Module.,41,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),other,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,4,0.0,0.0,0.0,False,False,False,False,False,0.0,-51.0,False,False,False,0
"3) Figure corrected from the 2022 Annual and Sustainability Report, where this figure was reported as 43.",41,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),achievement,achievement,2022,2022,,,0.67,data/raw/hm/2023_sustainability_report.pdf,hm,2023,14,0.0,0.0,0.0,True,True,False,False,False,0.4,29.5,True,False,False,0
"Net zero, as defined by the Science Based Targets initiative (SBTi), focuses on reducing emissions as far as possible before removing emissions that cannot be avoided.",42,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),attribute,achievement,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,26,0.0385,0.0,0.0385,False,False,False,False,True,0.046,21.0,True,False,False,0
"By aiming for net zero we focus on reducing our absolute climate impact, supported by our public affairs work and collaboration to effect wider climate progress.",42,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),attribute,hedged,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,26,0.0,0.0,0.0385,False,False,False,False,False,0.0,27.5,False,False,False,1
"Compared to last year, this is a decrease of 9,794 tonnes CO2e — primarily due to a relative increase in our procurement of renewable energy certificates following closure of our operations in Russia.",42,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),other,,"9,794 tonnes",,,own operations,1.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,32,0.0,0.0,0.0,True,False,False,True,False,0.4,15.7,False,False,False,0
"This positive trend is primarily attributed to our ongoing efforts, including investments in recycled and sustainably sourced materials for garments and packaging, energy efficiency improvements and a shift to cleaner energy sources in our supply chain as well as decreased stock-in-trade.",42,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),attribute,achievement,,,,supply chain,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,41,0.0244,0.0,0.0,False,False,False,True,False,0.102,-6.0,True,False,False,1
"While emissions are still linked to resource use, the development of these emission per revenue is also positive, with a 23 percent decrease in tonnes of CO2e/ SEK million compared to 2019, and 13 percent decrease compared to 2022.",42,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),other,,23 percent,2019,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,36,0.0,0.0,0.0,True,True,False,False,False,0.4,29.3,False,False,False,1
"Within this programme, our energy efficiency experts have identified possible improvements that could lead to around 200,000 tonnes CO2e of annual reductions.",42,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),other,hedged,"200,000 tonnes",,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,22,0.0,0.0909,0.0,True,False,False,False,False,0.0,23.0,False,False,True,0
"The project, developed by Copenhagen Infrastructure Partners (CIP), is expected to contribute to substantial job creation, stabilise energy supply, and reduce emissions by approximately 725,000 tonnes annually.",42,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),other,hedged,"725,000 tonnes",,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,26,0.0385,0.1154,0.0,True,False,False,False,False,0.0,-14.8,True,False,False,0
Freshwater share in H&M Group’s supply chain reduced to 84 percent compared to 87 percent in 2022.,42,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),achievement,achievement,84 percent,,,supply chain,0.67,data/raw/hm/2023_sustainability_report.pdf,hm,2023,16,0.0,0.0,0.0,True,False,False,True,False,0.4,58.4,False,False,False,0
2) Our GHG emissions accounting and reporting are aligned with the GHG Protocol.,42,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),other,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,12,0.0,0.0,0.0,False,False,False,False,True,0.2,39.6,True,False,False,0
"Scope 2 emissions under the market-based approach are equal to 38,451 tonnes CO2e.",42,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),other,,"38,451 tonnes",,,Scope 2,1.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,12,0.0,0.0,0.0,True,False,False,True,False,0.4,46.6,False,False,False,0
"Under the location-based approach (using grid average emission factors), scope 2 emissions were 377,307 tonnes.",42,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),achievement,achievement,"377,307 tonnes",,,Scope 2,0.67,data/raw/hm/2023_sustainability_report.pdf,hm,2023,13,0.0,0.0,0.0,True,False,False,True,True,0.6,11.4,False,False,False,0
"GHG emissions include carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs) and sulphur hexafluoride (SF6).",42,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),other,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,20,0.0,0.0,0.0,False,False,False,False,False,0.0,13.1,False,False,False,0
"Scope 1 and 2 limitations and comments: only stores open for the full quarter are included; electricity consumption for HVAC operated by landlord not included; electricity consumption includes both actual data and estimates, where estimates are made if actual data are not received within the reporting deadline.",42,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),other,,1,,,Scope 1,1.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,45,0.0,0.0444,0.0,True,False,False,True,False,0.222,-9.9,True,False,False,0
"Not all sustainably sourced materials can be naturally grown or cultivated, i.e. minerals or stones.",42,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),attribute,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,16,0.0,0.0,0.0,False,False,False,False,False,0.0,37.5,False,False,False,0
"We achieved 85 percent recycled or sustainably sourced materials in our commercial goods in 2023 (84 percent in 2022), including 25 percent recycled materials (23 percent in 2022).",43,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),achievement,achievement,85 percent,,,,0.33,data/raw/hm/2023_sustainability_report.pdf,hm,2023,21,0.0,0.0,0.0,True,False,False,False,False,0.2,12.3,False,False,False,0
Progress was largely due to scaling use of recycled polyester and Responsible Wool Standard compliant wool.,43,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),attribute,achievement,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,16,0.125,0.0,0.0,False,False,False,False,False,0.0,42.5,False,False,False,2
69 percent of our remaining plastic is from recycled sources and 79 percent of our packaging is now made from recycled or sustainably sourced materials.,43,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),attribute,,69 percent,,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,23,0.0,0.0,0.0,True,False,False,False,False,0.2,32.7,False,False,False,0
"By exploring the social implications and opportunities of a future fashion sector, we can enable the transition to a circular, net-zero industry, alongside supporting communities, supply chains and our business to be more resilient against the effects of climate change.",43,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),attribute,,,,,supply chain,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,40,0.0,0.0,0.025,False,False,False,True,False,0.2,3.4,False,False,False,0
6) Increasing the share of female supervisors and worker representatives is an ambition in the group’s Women’s Empowerment Strategy for the production supply chain.,43,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),target,hedged,,,,supply chain,0.25,data/raw/hm/2023_sustainability_report.pdf,hm,2023,25,0.0,0.0,0.04,False,False,False,True,False,0.2,19.0,False,False,False,1
The description of economic activity 5.4 under the circular economy delegated act states that only second-hand goods used for intended purpose by customers shall be included.,45,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),other,firm,5.4,,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,25,0.0,0.04,0.04,True,False,False,False,False,0.04,11.4,True,True,False,0
"7.3 Installation, maintenance and repair of energy efficient equipment H&M Group is undertaking various energy efficiency projects, many of which are immaterial or of a financial support, rather than of an investment, nature.",45,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),other,hedged,7.3,,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,33,0.0606,0.0,0.0,True,False,False,False,False,0.0,20.9,False,False,False,0
"This project falls under the EU Taxonomy economic activity 7.3 installation, maintenance and repair of energy efficient equipment under climate change mitigation delegated act and is therefore included in our taxonomy reporting.",45,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),other,,7.3,,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,31,0.0,0.0,0.0,True,False,False,False,False,0.2,-2.7,False,False,False,0
All of H&M Group’s new or renegotiated right of use assets fall under the EU Taxonomy economic activity 7.7 acquisition and ownership of building under climate change mitigation delegated act and are therefore included in our taxonomy reporting.,45,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),other,,7.7,,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,39,0.0,0.0,0.0,True,False,False,False,False,0.2,20.0,False,False,False,0
Compliance with the technical screening criteria of not causing significant harm (DNSH) Climate change adaptation H&M Group performed its first risk analysis following the Task Force on Climate-related Disclosures (TCFD) recommendations during 2019.,45,Sustainability impact areas and performance > FSLM (Higg Facility Social and Labor Module),other,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,33,0.0303,0.0,0.0,False,False,False,False,False,0.0,1.6,False,False,False,0
"In 2022 results were impacted by one-time costs of SEK 2,591 m for winding down the Russian operations and for the cost and efficiency programme.",48,"Sustainability impact areas and performance > TOTAL COMPREHENSIVE INCOME FOR THE YEAR 8,433 4,426",achievement,achievement,2022,,,,0.33,data/raw/hm/2023_sustainability_report.pdf,hm,2023,23,0.0,0.0,0.0,True,False,False,False,False,0.2,47.4,True,False,False,0
"In accordance with RFR 2, the parent company does not apply IFRS 9 with the exception of the principles in IFRS 9 regarding the time of recognition and removal of financial instruments in the balance sheet and the principles for impairment testing and recognition of expected credit losses.",54,Notes to the financial statements,other,,"2,",,,,0.5,data/raw/hm/2023_sustainability_report.pdf,hm,2023,45,0.0,0.0444,0.0,True,False,False,False,False,0.022,12.6,False,False,False,0
"For 2023, the spend on recycled and sustainably sourced materials and decarbonisation amounted to a total of SEK 2.1 billion, which has been accounted for as cost of goods sold, equipment, tools, fixture and fittings, long-term loans to suppliers, prepaid expenses, selling expenses, and administrative expenses.",54,Notes to the financial statements,achievement,achievement,2.1 billion,,,,0.33,data/raw/hm/2023_sustainability_report.pdf,hm,2023,44,0.0,0.0,0.0,True,False,False,False,False,0.2,28.8,True,False,False,0
Prepaid expenses or costs related to carbon removals do not amount to significant amounts for 2023.,54,Notes to the financial statements,other,,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf,hm,2023,15,0.0667,0.0,0.0,False,False,False,False,False,0.0,33.7,False,False,False,0
